IATA,ICAO,Airport,Location,Timezone,Season
EGI,KEGI,Duke Field (Eglin Auxiliary Field 3),"Crestview, Florida, United States",UTC-06:00,Mar-Nov
EGV,KEGV,Eagle River Union Airport,"Eagle River, Wisconsin, United States",UTC-06:00,Mar-Nov
EKA,KEKA,Murray Field,"Eureka, California, United States",UTC-08:00,Mar-Nov
EKI,KEKM,Elkhart Municipal Airport (FAA: EKM),"Elkhart, Indiana, United States",UTC-05:00,Mar-Nov
EKN,KEKN,Elkins-Randolph County Airport,"Elkins, West Virginia, United States",UTC-05:00,Mar-Nov
EKO,KEKO,Elko Regional Airport,"Elko, Nevada, United States",UTC-08:00,Mar-Nov
EKX,KEKX,Elizabethtown Regional Airport (Addington Field),"Elizabethtown, Kentucky, United States",UTC-05:00,Mar-Nov
ELA,KELA,Eagle Lake Airport,"Eagle Lake, Texas, United States",UTC-06:00,Mar-Nov
ELD,KELD,South Arkansas Regional Airport at Goodwin Field,"El Dorado, Arkansas, United States",UTC-06:00,Mar-Nov
ELK,KELK,Elk City Regional Business Airport,"Elk City, Oklahoma, United States",UTC-06:00,Mar-Nov
ELM,KELM,Elmira/Corning Regional Airport,"Elmira / Corning, New York, United States",UTC-05:00,Mar-Nov
ELN,KELN,Bowers Field,"Ellensburg, Washington, United States",UTC-08:00,Mar-Nov
LYU,KELO,Ely Municipal Airport (FAA: ELO),"Ely, Minnesota, United States",UTC-06:00,Mar-Nov
ELP,KELP,El Paso International Airport,"El Paso, Texas, United States",UTC-07:00,Mar-Nov
ELY,KELY,Ely Airport,"Ely, Nevada, United States",UTC-08:00,Mar-Nov
ELZ,KELZ,Wellsville Municipal Airport (Tarantine Field),"Wellsville, New York, United States",UTC-05:00,Mar-Nov
EMM,KEMM,Kemmerer Municipal Airport,"Kemmerer, Wyoming, United States",UTC-07:00,Mar-Nov
EMP,KEMP,Emporia Municipal Airport,"Emporia, Kansas, United States",UTC-06:00,Mar-Nov
EMT,KEMT,San Gabriel Valley Airport,"El Monte, California, United States",UTC-08:00,Mar-Nov
END,KEND,Vance Air Force Base,"Enid, Oklahoma, United States",UTC-06:00,Mar-Nov
ENL,KENL,Centralia Municipal Airport,"Centralia, Illinois, United States",UTC-06:00,Mar-Nov
ENV,KENV,Wendover Airport,"Wendover, Utah, United States",UTC-07:00,Mar-Nov
ENW,KENW,Kenosha Regional Airport,"Kenosha, Wisconsin, United States",UTC-06:00,Mar-Nov
EOK,KEOK,Keokuk Municipal Airport,"Keokuk, Iowa, United States",UTC-06:00,Mar-Nov
EOS,KEOS,Neosho Hugh Robinson Airport,"Neosho, Missouri, United States",UTC-06:00,Mar-Nov
EPH,KEPH,Ephrata Municipal Airport,"Ephrata, Washington, United States",UTC-08:00,Mar-Nov
EDK,KEQA,Captain Jack Thomas/El Dorado Airport (FAA: EQA),"El Dorado, Kansas, United States",UTC-06:00,Mar-Nov
ERI,KERI,Erie International Airport (Tom Ridge Field),"Erie, Pennsylvania, United States",UTC-05:00,Mar-Nov
ERR,KERR,Errol Airport,"Errol, New Hampshire, United States",UTC-05:00,Mar-Nov
ERV,KERV,Kerrville Municipal Airport (Louis Schreiner Field),"Kerrville, Texas, United States",UTC-06:00,Mar-Nov
ESC,KESC,Delta County Airport,"Escanaba, Michigan, United States",UTC-05:00,Mar-Nov
ESF,KESF,Esler Airfield (Esler Regional Airport),"Alexandria, Louisiana, United States",UTC-06:00,Mar-Nov
ESN,KESN,Easton Airport (Newnam Field),"Easton, Maryland, United States",UTC-05:00,Mar-Nov
EST,KEST,Estherville Municipal Airport,"Estherville, Iowa, United States",UTC-06:00,Mar-Nov
ESW,KESW,Easton State Airport,"Easton, Washington, United States",UTC-08:00,Mar-Nov
ETB,KETB,West Bend Municipal Airport,"West Bend, Wisconsin, United States",UTC-06:00,Mar-Nov
ETN,KETN,Eastland Municipal Airport,"Eastland, Texas, United States",UTC-06:00,Mar-Nov
EUF,KEUF,Weedon Field,"Eufaula, Alabama, United States",UTC-06:00,Mar-Nov
EUG,KEUG,Eugene Airport (Mahlon Sweet Airport),"Eugene, Oregon, United States",UTC-08:00,Mar-Nov
EVM,KEVM,Eveleth-Virginia Municipal Airport,"Eveleth, Minnesota, United States",UTC-06:00,Mar-Nov
EVV,KEVV,Evansville Regional Airport,"Evansville, Indiana, United States",UTC-06:00,Mar-Nov
EVW,KEVW,Evanston-Uinta County Burns Field,"Evanston, Wyoming, United States",UTC-07:00,Mar-Nov
EWB,KEWB,New Bedford Regional Airport,"New Bedford / Fall River, Massachusetts, United States",UTC-05:00,Mar-Nov
EWK,KEWK,Newton City/County Airport,"Newton, Kansas, United States",UTC-06:00,Mar-Nov
EWN,KEWN,Coastal Carolina Regional Airport,"New Bern, North Carolina, United States",UTC-05:00,Mar-Nov
EWR,KEWR,Newark Liberty International Airport,"Newark, New Jersey, United States",UTC-05:00,Mar-Nov
EYW,KEYW,Key West International Airport,"Key West, Florida, United States",UTC-05:00,Mar-Nov
FAF,KFAF,Felker Army Airfield,"Fort Eustis, Virginia, United States",UTC-05:00,Mar-Nov
FAM,KFAM,Farmington Regional Airport,"Farmington, Missouri, United States",UTC-06:00,Mar-Nov
FAR,KFAR,Hector International Airport,"Fargo, North Dakota, United States",UTC-06:00,Mar-Nov
FAT,KFAT,Fresno Yosemite International Airport,"Fresno, California, United States",UTC-08:00,Mar-Nov
FAY,KFAY,Fayetteville Regional Airport (Grannis Field),"Fayetteville, North Carolina, United States",UTC-05:00,Mar-Nov
FBG,KFBG,Simmons Army Airfield,"Fort Bragg, North Carolina, United States",UTC-05:00,Mar-Nov
FBL,KFBL,Faribault Municipal Airport,"Faribault, Minnesota, United States",UTC-06:00,Mar-Nov
FBR,KFBR,Fort Bridger Airport,"Fort Bridger, Wyoming, United States",UTC-07:00,Mar-Nov
FBY,KFBY,Fairbury Municipal Airport,"Fairbury, Nebraska, United States",UTC-06:00,Mar-Nov
FCH,KFCH,Fresno Chandler Executive Airport,"Fresno, California, United States",UTC-08:00,Mar-Nov
FCM,KFCM,Flying Cloud Airport,"Eden Prairie, Minnesota, United States",UTC-06:00,Mar-Nov
FCS,KFCS,Butts Army Airfield (Fort Carson),"Colorado Springs, Colorado, United States",UTC-07:00,Mar-Nov
FCY,KFCY,Forrest City Municipal Airport,"Forrest City, Arkansas, United States",UTC-06:00,Mar-Nov
FDK,KFDK,Frederick Municipal Airport,"Frederick, Maryland, United States",UTC-05:00,Mar-Nov
FDR,KFDR,Frederick Regional Airport,"Frederick, Oklahoma, United States",UTC-06:00,Mar-Nov
FDY,KFDY,Findlay Airport,"Findlay, Ohio, United States",UTC-05:00,Mar-Nov
FEP,KFEP,Albertus Airport,"Freeport, Illinois, United States",UTC-06:00,Mar-Nov
FET,KFET,Fremont Municipal Airport,"Fremont, Nebraska, United States",UTC-06:00,Mar-Nov
FFA,KFFA,First Flight Airport,"Kill Devil Hills, North Carolina, United States",UTC-05:00,Mar-Nov
FFL,KFFL,Fairfield Municipal Airport,"Fairfield, Iowa, United States",UTC-06:00,Mar-Nov
FFM,KFFM,Fergus Falls Municipal Airport (Einar Mickelson Field),"Fergus Falls, Minnesota, United States",UTC-06:00,Mar-Nov
FFO,KFFO,Wright-Patterson Air Force Base (First Flight-Office),"Dayton, Ohio, United States",UTC-05:00,Mar-Nov
FFT,KFFT,Capital City Airport,"Frankfort, Kentucky, United States",UTC-05:00,Mar-Nov
MSC,KFFZ,Falcon Field Airport (FAA: FFZ),"Phoenix, Arizona, United States",UTC-07:00,
FRD,KFHR,Friday Harbor Airport (FAA: FHR),"Friday Harbor, Washington, United States",UTC-08:00,Mar-Nov
FHU,KFHU,Sierra Vista Municipal Airport (Libby Army Airfield),"Sierra Vista, Arizona, United States",UTC-07:00,
FKL,KFKL,Venango Regional Airport (Chess Lamberton Field),"Franklin, Pennsylvania, United States",UTC-05:00,Mar-Nov
FKN,KFKN,Franklin Municipal–John Beverly Rose Airport,"Franklin, Virginia, United States",UTC-05:00,Mar-Nov
FLD,KFLD,Fond du Lac County Airport,"Fond du Lac, Wisconsin, United States",UTC-06:00,Mar-Nov
FLG,KFLG,Flagstaff Pulliam Airport,"Flagstaff, Arizona, United States",UTC-07:00,
FLL,KFLL,Fort Lauderdale–Hollywood International Airport,"Fort Lauderdale / Hollywood, Florida, United States",UTC-05:00,Mar-Nov
FLO,KFLO,Florence Regional Airport,"Florence, South Carolina, United States",UTC-05:00,Mar-Nov
FLP,KFLP,Marion County Regional Airport,"Flippin, Arkansas, United States",UTC-06:00,Mar-Nov
FLV,KFLV,Sherman Army Airfield,"Fort Leavenworth, Kansas, United States",UTC-06:00,Mar-Nov
FLX,KFLX,Fallon Municipal Airport,"Fallon, Nevada, United States",UTC-08:00,Mar-Nov
FME,KFME,Tipton Airport,"Fort Meade / Odenton, Maryland, United States",UTC-05:00,Mar-Nov
FMH,KFMH,Otis Air National Guard Base,"Falmouth, Massachusetts, United States",UTC-05:00,Mar-Nov
FMN,KFMN,Four Corners Regional Airport,"Farmington, New Mexico, United States",UTC-07:00,Mar-Nov
FMY,KFMY,Page Field,"Fort Myers, Florida, United States",UTC-05:00,Mar-Nov
FNL,KFNL,Fort Collins–Loveland Municipal Airport,"Fort Collins/Loveland, Colorado, United States",UTC-07:00,Mar-Nov
FNT,KFNT,Bishop International Airport,"Flint, Michigan, United States",UTC-05:00,Mar-Nov
FOD,KFOD,Fort Dodge Regional Airport,"Fort Dodge, Iowa, United States",UTC-06:00,Mar-Nov
FOE,KFOE,Topeka Regional Airport,"Topeka, Kansas, United States",UTC-06:00,Mar-Nov
FOK,KFOK,Francis S. Gabreski Airport,"Westhampton Beach, New York, United States",UTC-05:00,Mar-Nov
FIL,KFOM,Fillmore Municipal Airport (FAA: FOM),"Fillmore, Utah, United States",UTC-07:00,Mar-Nov
FPR,KFPR,St. Lucie County International Airport,"Fort Pierce, Florida, United States",UTC-05:00,Mar-Nov
FRG,KFRG,Republic Airport,"Farmingdale, New York, United States",UTC-05:00,Mar-Nov
FRH,KFRH,French Lick Municipal Airport,"French Lick, Indiana, United States",UTC-05:00,Mar-Nov
FRI,KFRI,Marshall Army Airfield,"Fort Riley, Kansas, United States",UTC-06:00,Mar-Nov
FRM,KFRM,Fairmont Municipal Airport,"Fairmont, Minnesota, United States",UTC-06:00,Mar-Nov
FRR,KFRR,Front Royal–Warren County Airport,"Front Royal, Virginia, United States",UTC-05:00,Mar-Nov
FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field),"Sioux Falls, South Dakota, United States",UTC-06:00,Mar-Nov
FSI,KFSI,Henry Post Army Airfield (Fort Sill),"Lawton, Oklahoma, United States",UTC-06:00,Mar-Nov
FSK,KFSK,Fort Scott Municipal Airport,"Fort Scott, Kansas, United States",UTC-06:00,Mar-Nov
FSM,KFSM,Fort Smith Regional Airport,"Fort Smith, Arkansas, United States",UTC-06:00,Mar-Nov
FST,KFST,Fort Stockton–Pecos County Airport,"Fort Stockton, Texas, United States",UTC-06:00,Mar-Nov
FSU,KFSU,Fort Sumner Municipal Airport,"Fort Sumner, New Mexico, United States",UTC-07:00,Mar-Nov
FMS,KFSW,Fort Madison Municipal Airport (FAA: FSW),"Fort Madison, Iowa, United States",UTC-06:00,Mar-Nov
FTK,KFTK,Godman Army Airfield,"Fort Knox, Kentucky, United States",UTC-05:00,Mar-Nov
FTW,KFTW,Fort Worth Meacham International Airport,"Fort Worth, Texas, United States",UTC-06:00,Mar-Nov
FTY,KFTY,Fulton County Airport (Charlie Brown Field),"Atlanta, Georgia, United States",UTC-05:00,Mar-Nov
FUL,KFUL,Fullerton Municipal Airport,"Fullerton, California, United States",UTC-08:00,Mar-Nov
WFK,KFVE,Northern Aroostook Regional Airport (FAA: FVE),"Frenchville, Maine, United States",,
FWA,KFWA,Fort Wayne International Airport,"Fort Wayne, Indiana, United States",UTC-05:00,Mar-Nov
FXE,KFXE,Fort Lauderdale Executive Airport,"Fort Lauderdale, Florida, United States",UTC-05:00,Mar-Nov
FXY,KFXY,Forest City Municipal Airport,"Forest City, Iowa, United States",UTC-06:00,Mar-Nov
FYM,KFYM,Fayetteville Municipal Airport,"Fayetteville, Tennessee, United States",UTC-06:00,Mar-Nov
FYV,KFYV,Drake Field (Fayetteville Executive Airport),"Fayetteville, Arkansas, United States",UTC-06:00,Mar-Nov
GAB,KGAB,Gabbs Airport,"Gabbs, Nevada, United States",UTC-08:00,Mar-Nov
GAD,KGAD,Northeast Alabama Regional Airport,"Gadsden, Alabama, United States",UTC-06:00,Mar-Nov
GAG,KGAG,Gage Airport,"Gage, Oklahoma, United States",UTC-06:00,Mar-Nov
GAI,KGAI,Montgomery County Airpark,"Gaithersburg, Maryland, United States",UTC-05:00,Mar-Nov
GBD,KGBD,Great Bend Municipal Airport,"Great Bend, Kansas, United States",UTC-06:00,Mar-Nov
GBG,KGBG,Galesburg Municipal Airport,"Galesburg, Illinois, United States",UTC-06:00,Mar-Nov
GBR,KGBR,Walter J. Koladza Airport,"Great Barrington, Massachusetts, United States",UTC-05:00,Mar-Nov
GCC,KGCC,Gillette–Campbell County Airport,"Gillette, Wyoming, United States",UTC-07:00,Mar-Nov
JDA,KGCD,Grant County Regional Airport (Ogilvie Field) (FAA: GCD),"John Day, Oregon, United States",UTC-08:00,Mar-Nov
GCK,KGCK,Garden City Regional Airport,"Garden City, Kansas, United States",UTC-06:00,Mar-Nov
GCN,KGCN,Grand Canyon National Park Airport,"Tusayan, Arizona, United States",UTC-07:00,
GCY,KGCY,Greeneville–Greene County Municipal Airport,"Greeneville, Tennessee, United States",UTC-05:00,Mar-Nov
GDM,KGDM,Gardner Municipal Airport,"Gardner, Massachusetts, United States",UTC-05:00,Mar-Nov
GDV,KGDV,Dawson Community Airport,"Glendive, Montana, United States",UTC-07:00,Mar-Nov
GDW,KGDW,Gladwin Zettel Memorial Airport,"Gladwin, Michigan, United States",UTC-05:00,Mar-Nov
GED,KGED,Delaware Coastal Airport,"Georgetown, Delaware, United States",UTC-05:00,Mar-Nov
GEG,KGEG,Spokane International Airport,"Spokane, Washington, United States",UTC-08:00,Mar-Nov
GEY,KGEY,South Big Horn County Airport,"Greybull, Wyoming, United States",UTC-07:00,Mar-Nov
GFD,KGFD,Pope Field,"Greenfield, Indiana, United States",UTC-05:00,Mar-Nov
GFK,KGFK,Grand Forks International Airport,"Grand Forks, North Dakota, United States",UTC-06:00,Mar-Nov
GFL,KGFL,Floyd Bennett Memorial Airport,"Glens Falls, New York, United States",UTC-05:00,Mar-Nov
GGE,KGGE,Georgetown County Airport,"Georgetown, South Carolina, United States",UTC-05:00,Mar-Nov
GGG,KGGG,East Texas Regional Airport,"Longview, Texas, United States",UTC-06:00,Mar-Nov
GGW,KGGW,Glasgow Airport (Wokal Field),"Glasgow, Montana, United States",UTC-07:00,Mar-Nov
GHM,KGHM,Centerville Municipal Airport,"Centerville, Tennessee, United States",UTC-06:00,Mar-Nov
IDH,KGIC,Idaho County Airport[1] (FAA: GIC),"Grangeville, Idaho, United States",UTC-07:00,Mar-Nov
GIF,KGIF,Winter Haven's Gilbert Airport,"Winter Haven, Florida, United States",UTC-05:00,Mar-Nov
GJT,KGJT,Grand Junction Regional Airport (Walker Field),"Grand Junction, Colorado, United States",UTC-07:00,Mar-Nov
MEJ,KGKJ,Port Meadville Airport (FAA: GKJ),"Meadville, Pennsylvania, United States",UTC-05:00,Mar-Nov
GKT,KGKT,Gatlinburg–Pigeon Forge Airport,"Sevierville, Tennessee, United States",UTC-05:00,Mar-Nov
GLD,KGLD,Goodland Municipal Airport (Renner Field),"Goodland, Kansas, United States",UTC-07:00,Mar-Nov
GLE,KGLE,Gainesville Municipal Airport,"Gainesville, Texas, United States",UTC-06:00,Mar-Nov
GLH,KGLH,Mid-Delta Regional Airport,"Greenville, Mississippi, United States",UTC-06:00,Mar-Nov
GLR,KGLR,Gaylord Regional Airport,"Gaylord, Michigan, United States",UTC-05:00,Mar-Nov
GLS,KGLS,Scholes International Airport at Galveston,"Galveston, Texas, United States",UTC-06:00,Mar-Nov
GLW,KGLW,Glasgow Municipal Airport,"Glasgow, Kentucky, United States",UTC-06:00,Mar-Nov
GMU,KGMU,Greenville Downtown Airport,"Greenville, South Carolina, United States",UTC-05:00,Mar-Nov
GNG,KGNG,Gooding Municipal Airport,"Gooding, Idaho, United States",UTC-07:00,Mar-Nov
GNT,KGNT,Grants-Milan Municipal Airport,"Grants, New Mexico, United States",UTC-07:00,Mar-Nov
GNV,KGNV,Gainesville Regional Airport,"Gainesville, Florida, United States",UTC-05:00,Mar-Nov
GOK,KGOK,Guthrie–Edmond Regional Airport,"Guthrie, Oklahoma, United States",UTC-06:00,Mar-Nov
GON,KGON,Groton–New London Airport,"Groton / New London, Connecticut, United States",UTC-05:00,Mar-Nov
FCA,KGPI,Glacier Park International Airport (FAA: GPI),"Kalispell, Montana, United States",UTC-07:00,Mar-Nov
GPT,KGPT,Gulfport–Biloxi International Airport,"Gulfport / Biloxi, Mississippi, United States",UTC-06:00,Mar-Nov
GPZ,KGPZ,Grand Rapids–Itasca County Airport (Gordon Newstrom Field),"Grand Rapids, Minnesota, United States",UTC-06:00,Mar-Nov
GQQ,KGQQ,Galion Municipal Airport,"Galion, Ohio, United States",UTC-05:00,Mar-Nov
GRB,KGRB,Austin Straubel International Airport,"Green Bay, Wisconsin, United States",UTC-06:00,Mar-Nov
GRD,KGRD,Greenwood County Airport,"Greenwood, South Carolina, United States",UTC-05:00,Mar-Nov
GRE,KGRE,Greenville Airport,"Greenville, Illinois, United States",UTC-06:00,Mar-Nov
GRF,KGRF,Gray Army Airfield,"Tacoma, Washington, United States",UTC-08:00,Mar-Nov
GRI,KGRI,Central Nebraska Regional Airport,"Grand Island, Nebraska, United States",UTC-06:00,Mar-Nov
GRK,KGRK,Killeen–Fort Hood Regional Airport / Robert Gray Army Airfield,"Fort Hood / Killeen, Texas, United States",UTC-06:00,Mar-Nov
GRN,KGRN,Gordon Municipal Airport,"Gordon, Nebraska, United States",UTC-07:00,Mar-Nov
GRR,KGRR,Gerald R. Ford International Airport,"Grand Rapids, Michigan, United States",UTC-05:00,Mar-Nov
GSB,KGSB,Seymour Johnson Air Force Base,"Goldsboro, North Carolina, United States",UTC-05:00,Mar-Nov
GSH,KGSH,Goshen Municipal Airport,"Goshen, Indiana, United States",UTC-05:00,Mar-Nov
GSO,KGSO,Piedmont Triad International Airport,"Greensboro, North Carolina, United States",UTC-05:00,Mar-Nov
GSP,KGSP,Greenville–Spartanburg International Airport,"Greenville / Spartanburg, South Carolina, United States",UTC-05:00,Mar-Nov
GTF,KGTF,Great Falls International Airport,"Great Falls, Montana, United States",UTC-07:00,Mar-Nov
GTG,KGTG,Grantsburg Municipal Airport,"Grantsburg, Wisconsin, United States",UTC-06:00,Mar-Nov
GTR,KGTR,Golden Triangle Regional Airport,"Columbus / West Point / Starkville, Mississippi, United States",UTC-06:00,Mar-Nov
GUC,KGUC,Gunnison–Crested Butte Regional Airport,"Gunnison, Colorado, United States",UTC-07:00,Mar-Nov
GUP,KGUP,Gallup Municipal Airport,"Gallup, New Mexico, United States",UTC-07:00,Mar-Nov
GUS,KGUS,Grissom Air Reserve Base,"Peru, Indiana, United States",UTC-05:00,Mar-Nov
GUY,KGUY,Guymon Municipal Airport,"Guymon, Oklahoma, United States",UTC-06:00,Mar-Nov
GVE,KGVE,Gordonsville Municipal Airport,"Gordonsville, Virginia, United States",UTC-05:00,Mar-Nov
GVL,KGVL,Lee Gilmer Memorial Airport,"Gainesville, Georgia, United States",UTC-05:00,Mar-Nov
GVT,KGVT,Majors Airport,"Greenville, Texas, United States",UTC-06:00,Mar-Nov
GWO,KGWO,Greenwood–Leflore Airport,"Greenwood, Mississippi, United States",UTC-06:00,Mar-Nov
GWS,KGWS,Glenwood Springs Municipal Airport,"Glenwood Springs, Colorado, United States",UTC-07:00,Mar-Nov
GXY,KGXY,Greeley–Weld County Airport,"Greeley, Colorado, United States",UTC-07:00,Mar-Nov
GDC,KGYH,Donaldson Center Airport (FAA: GYH),"Greenville, South Carolina, United States",UTC-05:00,Mar-Nov
PNX,KGYI,North Texas Regional Airport (FAA: GYI),"Sherman / Denison, Texas, United States",,
GYR,KGYR,Phoenix Goodyear Airport,"Goodyear, Arizona, United States",UTC-07:00,
HAB,KHAB,Marion County – Rankin Fite Airport,"Hamilton, Alabama, United States",UTC-06:00,Mar-Nov
HAF,KHAF,Half Moon Bay Airport,"Half Moon Bay, California, United States",UTC-08:00,Mar-Nov
HAI,KHAI,Three Rivers Municipal Airport (Dr. Haines Flying Field),"Three Rivers, Michigan, United States",UTC-05:00,Mar-Nov
HAO,KHAO,Butler County Regional Airport,"Hamilton, Ohio, United States",UTC-05:00,Mar-Nov
HBG,KHBG,Hattiesburg Bobby L. Chain Municipal Airport,"Hattiesburg, Mississippi, United States",UTC-06:00,Mar-Nov
HBR,KHBR,Hobart Regional Airport,"Hobart, Oklahoma, United States",UTC-06:00,Mar-Nov
HDE,KHDE,Brewster Field,"Holdrege, Nebraska, United States",UTC-06:00,Mar-Nov
HDN,KHDN,Yampa Valley Airport,"Hayden, Colorado, United States",UTC-07:00,Mar-Nov
HEE,KHEE,Thompson–Robbins Airport,"Helena-West Helena, Arkansas, United States",UTC-06:00,Mar-Nov
MNZ,KHEF,Manassas Regional Airport (FAA: HEF),"Manassas, Virginia, United States",UTC-05:00,Mar-Nov
HEZ,KHEZ,Natchez–Adams County Airport (Hardy–Anders Field),"Natchez, Mississippi, United States",UTC-06:00,Mar-Nov
HFD,KHFD,Hartford–Brainard Airport,"Hartford, Connecticut, United States",UTC-05:00,Mar-Nov
HFF,KHFF,Mackall Army Airfield,"Hoffman, North Carolina, United States",UTC-05:00,Mar-Nov
HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field),"Hagerstown, Maryland, United States",UTC-05:00,Mar-Nov
HHR,KHHR,Hawthorne Municipal Airport (Jack Northrop Field),"Hawthorne, California, United States",UTC-08:00,Mar-Nov
HUJ,KHHW,Stan Stamper Municipal Airport (FAA: HHW),"Hugo, Oklahoma, United States",UTC-06:00,Mar-Nov
HIB,KHIB,Range Regional Airport,"Hibbing, Minnesota, United States",UTC-06:00,Mar-Nov
HIE,KHIE,Mount Washington Regional Airport,"Whitefield, New Hampshire, United States",UTC-05:00,Mar-Nov
HIF,KHIF,Hill Air Force Base,"Ogden, Utah, United States",UTC-07:00,Mar-Nov
HII,KHII,Lake Havasu City Airport,"Lake Havasu City, Arizona, United States",UTC-07:00,
HIO,KHIO,Hillsboro Airport (Portland–Hillsboro Airport),"Hillsboro / Portland, Oregon, United States",UTC-08:00,Mar-Nov
HKA,KHKA,Blytheville Municipal Airport,"Blytheville, Arkansas, United States",UTC-06:00,Mar-Nov
